enter,rides2020,station,location,opened,ridership,parking,geo,lat,lon
12TH,740363,12th Street Oakland City Center,Oakland,1972-9-11,14018,0,"(37.8034662, -122.2716016)",37.8034662,-122.2716016
16TH,751539,16th Street Mission,San Francisco,1973-11-5,12478,0,"(37.7653618, -122.4195684)",37.7653618,-122.4195684
19TH,760208,19th Street Oakland,Oakland,1972-9-11,13202,0,"(37.8088478, -122.2685139)",37.8088478,-122.2685139
24TH,721254,24th Street Mission,San Francisco,1973-11-5,11888,0,"(37.7522505, -122.4184682)",37.7522505,-122.4184682
ANTC,178224,Antioch,Antioch,2018-5-26,2898,1012,"(37.9953716, -121.7804454)",37.9953716,-121.7804454
ASHB,286592,Ashby,Berkeley,1973-1-29,4960,715,"(37.8529129, -122.2695416)",37.8529129,-122.2695416
BALB,633421,Balboa Park,San Francisco,1973-11-5,9844,0,"(37.7217476, -122.4474615)",37.7217476,-122.4474615
BAYF,313269,Bay Fair,San Leandro,1972-9-11,5188,1641,"(37.696787, -122.126088)",37.696787,-122.126088
DBRK,591507,Downtown Berkeley,Berkeley,1973-1-29,11128,0,"(37.870121, -122.2681423)",37.870121,-122.2681423
CAST,160750,Castro Valley,Castro Valley,1997-5-10,2738,1123,"(37.691846, -122.0746505)",37.691846,-122.0746505
CIVC,1344311,Civic Center,San Francisco,1973-11-5,22215,0,"(37.7795744, -122.4137147)",37.7795744,-122.4137147
COLS,288465,Coliseum,Oakland,1972-9-11,5584,847,"(37.7537939, -122.197005)",37.7537939,-122.197005
COLM,246645,Colma,Colma,1996-2-24,4197,2238,"(37.6846328, -122.466233)",37.6846328,-122.466233
CONC,316342,Concord,Concord,1973-5-21,5576,2367,"(37.9700131, -122.0310173)",37.9700131,-122.0310173
DALY,524255,Daly City,Daly City,1973-11-5,9059,2068,"(37.7059876, -122.4690249)",37.7059876,-122.4690249
DUBL,422407,Dublin/Pleasanton,Dublin / Pleasanton,1997-5-10,7925,2927,"(37.7016477, -121.8992171)",37.7016477,-121.8992171
DELN,431780,El Cerrito del Norte,El Cerrito,1973-1-29,7856,2198,"(37.92489399999999, -122.317052)",37.92489399999999,-122.317052
PLZA,265580,El Cerrito Plaza,El Cerrito,1973-1-29,4799,761,"(37.9028879, -122.2990129)",37.9028879,-122.2990129
EMBR,2010111,Embarcadero,San Francisco,1976-5-27,47839,0,"(37.7928975, -122.3970103)",37.7928975,-122.3970103
FRMT,287837,Freemont,Fremont,1972-9-11,5883,2030,"(37.5574355, -121.9758439)",37.5574355,-121.9758439
FTVL,452570,Fruitvale,Oakland,1972-9-11,7683,1268,"(37.7752293, -122.225206)",37.7752293,-122.225206
GLEN,426876,Glen Park,San Francisco,1973-11-5,6993,53,"(37.733064, -122.433817)",37.733064,-122.433817
HAYW,267317,Hayward,Hayward,1972-9-11,4558,1473,"(37.634375, -122.057189)",37.634375,-122.057189
LAFY,188095,Lafayette,Lafayette,1973-5-21,3483,1629,"(37.893179, -122.124679)",37.893179,-122.124679
LAKE,407298,Lake Merritt,Oakland,1972-9-11,6914,207,"(37.7970303, -122.2651829)",37.7970303,-122.2651829
MCAR,494378,MacArthur,Oakland,1972-9-11,8527,602,"(37.8283859, -122.2664645)",37.8283859,-122.2664645
MLBR,325240,Millbrae,Millbrae,2003-6-22,5966,2900,"(37.6002446, -122.3867914)",37.6002446,-122.3867914
MONT,2071258,Montgomery Street,San Francisco,1973-11-5,46119,0,"(37.7893598, -122.4013317)",37.7893598,-122.4013317
NBRK,229576,North Berkeley,Berkeley,1973-1-29,4264,822,"(37.8742903, -122.2831816)",37.8742903,-122.2831816
NCON,117146,North Concord / Martinez,Concord,1995-12-16,2026,1977,"(38.003193, -122.024653)",38.003193,-122.024653
OAKL,76523,Oakland International Airport,Oakland,2014-11-22,1172,0,"(37.7132759, -122.212208)",37.7132759,-122.212208
ORIN,156573,Orinda,Orinda,1973-5-21,2939,1406,"(37.878417, -122.183746)",37.878417,-122.183746
PCTR,84685,Pitsburg / Bay Point,Pittsburg,1996-12-7,3889,1992,"(38.0176012, -121.9453242)",38.0176012,-121.9453242
PITT,220543,Pittsburg Center,Pittsburg,2018-5-26,1053,262,"(38.0167754, -121.8887566)",38.0167754,-121.8887566
PHIL,391182,Pleasant Hill / Contra Costa Centre,Walnut Creek,1920-5-21,7584,3011,"(37.9286024, -122.055254)",37.9286024,-122.055254
POWL,1631601,Powell Street,San Francisco,1973-11-5,25249,0,"(37.7844605, -122.4079702)",37.7844605,-122.4079702
RICH,272847,Richmond,Richmond,1973-1-29,4075,624,"(37.9363605, -122.3536491)",37.9363605,-122.3536491
ROCK,291109,Rockridge,Oakland,1973-5-21,5484,903,"(37.8444277, -122.2517393)",37.8444277,-122.2517393
SBRN,201443,San Bruno,San Bruno,2003-6-22,3637,1083,"(37.6377717, -122.4162674)",37.6377717,-122.4162674
SFIA,378850,San Francisco International Airport,San Mateo County,2003-6-22,5083,0,"(37.6160179, -122.3924995)",37.6160179,-122.3924995
SANL,345682,San Leandro,San Leandro,1972-9-11,6029,1224,"(37.7216123, -122.1603954)",37.7216123,-122.1603954
SHAY,180152,South Hayward,Hayward,1972-9-11,2907,1207,"(37.6343891, -122.0567046)",37.6343891,-122.0567046
SSAN,191226,South San Francisco,South San Francisco,2003-6-22,3382,3500,"(37.6637942, -122.4435651)",37.6637942,-122.4435651
UCTY,249544,Union City,Union City,1972-9-11,4663,1197,"(37.590776, -122.017844)",37.590776,-122.017844
WCRK,339620,Walnut Creek,Walnut Creek,1973-5-21,6583,2089,"(37.9056632, -122.0675095)",37.9056632,-122.0675095
WARM,233744,Warm Springs / South Freemont,Fremont,2017-3-25,4080,2082,"(37.5017182, -121.938363)",37.5017182,-121.938363
WDUB,181825,West Dublin / Pleasanton,Dublin / Pleasanton,2011-2-19,3472,1190,"(37.699746, -121.928199)",37.699746,-121.928199
WOAK,454878,West Oakland,Oakland,1974-9-16,7047,156,"(37.8044995, -122.29491)",37.8044995,-122.29491
BERY,2,Berryessa / North San José,San José,,0,156,"(37.3718285, -121.8750443)",37.3718285,-121.8750443
MLPT,0,Milpitas,Milpitas,,0,156,"(37.4102506, -121.8910927)",37.4102506,-121.8910927
